section,cognizable,bailable,court,unambiguous,raw_cognizable,raw_bailable,raw_court,offence
95,Cognizable,Non-bailable,Magistrate of the first class,yes,Cognizable. Cognizable.,Non-bailable. Non-bailable.,Magistrate of the first class. Court by which offence committed is triable.,"Hiring, employing or engaging a child to commit an offence. If offence be committed."
96,Cognizable,Non-bailable,Court of Session,yes,C o gnizable.,Non-bailable.,Court of Session.,Procuration of child.
97,Cognizable,Non-bailable,Magistrate of the first class,yes,C o g nizable.,Non-bailable.,Magistrate of the first class.,Kidnapping or abducting a child under ten years with intent to steal from its person.
98,Cognizable,Non-bailable,Court of Session,yes,C ognizable.,Non-bailable.,Court of Session.,"Selling child for purposes of prostitution, etc."
99,Cognizable,Non-bailable,Court of Session,yes,Cognizable.,Non-bailable.,Court of Session.,"Buying child for purposes of prostitution, etc."
103,Cognizable,Non-bailable,Court of Session,yes,Cognizable.,Non-bailable.,Court of Session.,Murder.
104,Cognizable,Non-bailable,Court of Session,yes,Cognizable.,Non-bailable.,Court of Session.,Murder by life-convict.
105,Cognizable,Non-bailable,Court of Session,yes,Cognizable. C o g nizable.,Non-bailable. Non-bailable.,Court of Session. Court of Session.,"Culpable homicide not amounting to murder, if act by which the death is caused is done with intention of causing death, "
106,Cognizable,Bailable,Magistrate of the first class,yes,C ognizable. C o g n i zable.,Bailable. Bailable.,Magistrate of the first class. Magistrate of the first class.,Causing death by negligence. Causing death by negligence by registered medical practitioner.
107,Cognizable,Non-bailable,Court of Session,yes,Cognizable.,Non-bailable.,Court of Session.,"Abetment of suicide of child or person of unsound mind, etc."
108,Cognizable,Non-bailable,Court of Session,yes,C o gnizable.,Non-bailable.,Court of Session.,Abetment of suicide.
109,Cognizable,Non-bailable,Court of Session,yes,C ognizable. Cognizable.,Non-bailable. Non-bailable.,Court of Session. Court of Session.,Attempt to murder. If such act causes hurt to any person.
110,Cognizable,Non-bailable,Court of Session,yes,Cognizable. Cognizable.,Non-bailable. Non-bailable.,Court of Session. Court of Session.,Attempt to commit culpable homicide. If such act causes hurt to any person.
111,Cognizable,Non-bailable,Court of Session,yes,Cognizable.,Non-bailable.,Court of Session.,O r ganised crime resulting in death of any person.
112,Cognizable,Non-bailable,Magistrate of the first class,yes,Cognizable.,Non-bailable.,Magistrate of the first class.,Petty Organised crime.
113,Cognizable,Non-bailable,Court of Session,yes,Cognizable.,Non-bailable.,Court of Session.,Terrorist act resulting in the death of any person.
117,Cognizable,Bailable,Any Magistrate,yes,Cognizable.,Bailable.,Any Magistrate.,Voluntarily causing grievous hurt.
118,Cognizable,Non-bailable,Any Magistrate,yes,Cognizable.,Non-bailable.,Any Magistrate.,Voluntarily causing hurt by dangerous weapons or means.
119,Cognizable,Non-bailable,Magistrate of the first class,yes,Cognizable.,Non-bailable.,Magistrate of the first class.,"Voluntarily causing hurt to extort property, or to constrain to an illegal act."
120,Cognizable,Bailable,Magistrate of the first class,yes,Cognizable.,Bailable.,Magistrate of the first class.,"Voluntarily causing hurt to extort confession or information, or to compel restoration of property, etc."
121,Cognizable,Non-bailable,Magistrate of the first class,yes,Cognizable.,Non-bailable.,Magistrate of the first class.,Voluntarily causing hurt to deter public servant from his duty.
122,Non-cognizable,Bailable,Any Magistrate,yes,Non- cognizable.,Bailable.,Any Magistrate.,"Voluntarily causing hurt on grave and sudden provocation, not intending to hurt any other than the person who gave the p"
123,Cognizable,Non-bailable,Court of Session,yes,Cognizable.,Non-bailable.,Court of Session.,"Causing hurt by means of poison, etc., with intent to commit an offence."
124,Cognizable,Non-bailable,Court of Session,yes,Cognizable.,Non-bailable.,Court of Session.,"Voluntarily causing grievous hurt by use of acid, etc."
125,Cognizable,Bailable,Any Magistrate,yes,Cognizable. Cognizable. C o g nizable.,Bailable. Bailable. Bailable.,Any Magistrate. Any Magistrate. Any Magistrate.,Doing any act endangering human life or personal safety of others. Where hurt is caused. Where grievous hurt is caused.
126,Cognizable,Bailable,Any Magistrate,yes,Cognizable.,Bailable.,Any Magistrate.,Wrongfully restraining any person.
127,Cognizable,Bailable,Any Magistrate,yes,C o gnizable.,Bailable.,Any Magistrate.,Wrongfully confining any person.
131,Non-cognizable,Bailable,Any Magistrate,yes,Non- cognizable.,Bailable.,Any Magistrate.,Assault or criminal force otherwise than on grave provocation.
132,Cognizable,Non-bailable,Any Magistrate,yes,Cognizable.,Non-bailable.,Any Magistrate.,Assault or use of criminal force to deter public servant from discharge of his duty.
133,Non-cognizable,Bailable,Any Magistrate,yes,Non- cognizable.,Bailable.,Any Magistrate.,"Assault or criminal force with intent to dishonour a person, otherwise than on grave and sudden provocation."
134,Cognizable,Bailable,Any Magistrate,yes,Cognizable.,Bailable.,Any Magistrate.,Assault or criminal force in attempt to commit theft of property worn or carried by a person.
135,Cognizable,Bailable,Any Magistrate,yes,Cognizable.,Bailable.,Any Magistrate.,Assault or use of criminal force in attempt wrongfully to confine a person.
136,Non-cognizable,Bailable,Any Magistrate,yes,Non- cognizable.,Bailable.,Any Magistrate.,Assault or use of criminal force on grave and sudden provocation.
137,Cognizable,Bailable,Magistrate of the first class,yes,Cognizable.,Bailable.,Magistrate of the first class.,Kidnapping.
139,Cognizable,Non-bailable,Magistrate of the first class,yes,Cognizable.,Non-bailable.,Magistrate of the first class.,Kidnapping a child for purposes of begging.
140,Cognizable,Non-bailable,Court of Session,yes,Cognizable.,Non-bailable.,Court of Session.,Kidnapping or abducting in order to murder.
